date,zone,aqi,pm25_ugm3,pm10_ugm3,population
2026-01-14,Central,120,82,135,520000
2026-01-14,South,139,76,160,410000
2026-01-15,Manali,98,55,80,130000
2026-01-15,Ennore,117,49,105,105000
2026-01-15,Kodungaiyur,94,68,130,90000
2026-01-15,Central,113,62,110,520000
2026-01-15,South,132,81,135,410000
2026-01-16,Manali,91,35,100,130000
2026-01-16,Ennore,110,54,125,105000
2026-01-16,Kodungaiyur,129,73,105,90000
2026-01-16,Central,106,67,130,520000
2026-01-16,South,125,86,155,410000
2026-01-17,Manali,84,40,75,130000
2026-01-17,Ennore,103,59,100,105000
2026-01-17,Kodungaiyur,122,53,125,90000
2026-01-17,Central,141,72,150,520000
2026-01-17,South,118,91,130,410000
2026-01-18,Manali,77,45,95,130000
2026-01-18,Ennore,96,64,120,105000
2026-01-18,Kodungaiyur,115,58,100,90000
2026-01-18,Central,134,77,125,520000
2026-01-18,South,153,71,150,410000
2026-01-19,Manali,70,50,70,130000
2026-01-19,Ennore,89,44,95,105000
2026-01-19,Kodungaiyur,108,63,120,90000
2026-01-19,Central,127,82,145,520000
2026-01-19,South,146,76,125,410000
2026-01-20,Manali,105,55,90,130000
2026-01-20,Ennore,82,49,115,105000
2026-01-20,Kodungaiyur,101,68,95,90000
2026-01-20,Central,120,62,120,520000
2026-01-20,South,139,81,145,410000
2026-01-21,Manali,98,35,110,130000
2026-01-21,Ennore,117,54,90,105000
2026-01-21,Kodungaiyur,94,73,115,90000
2026-01-21,Central,113,67,140,520000
2026-01-21,South,132,86,120,410000
2026-01-22,Manali,91,40,85,130000
2026-01-22,Ennore,110,59,110,105000
2026-01-22,Kodungaiyur,129,53,135,90000
2026-01-22,Central,106,72,115,520000
2026-01-22,South,125,91,140,410000
2026-01-23,Manali,84,45,105,130000
2026-01-23,Ennore,103,64,85,105000
2026-01-23,Kodungaiyur,122,58,110,90000
2026-01-23,Central,141,77,135,520000
2026-01-23,South,118,71,160,410000
2026-01-24,Manali,77,50,80,130000
2026-01-24,Ennore,96,44,105,105000
2026-01-24,Kodungaiyur,115,63,130,90000
2026-01-24,Central,134,82,110,520000
2026-01-24,South,153,76,135,410000
2026-01-25,Manali,70,55,100,130000
2026-01-25,Ennore,89,49,125,105000
2026-01-25,Kodungaiyur,108,68,105,90000
2026-01-25,Central,127,62,130,520000
2026-01-25,South,146,81,155,410000
2026-01-26,Manali,105,35,75,130000
2026-01-26,Ennore,82,54,100,105000
2026-01-26,Kodungaiyur,101,73,125,90000
2026-01-26,Central,120,67,150,520000
2026-01-26,South,139,86,130,410000
2026-01-27,Manali,98,40,95,130000
2026-01-27,Ennore,117,59,120,105000
2026-01-27,Kodungaiyur,94,53,100,90000
2026-01-27,Central,113,72,125,520000
2026-01-27,South,132,91,150,410000
2026-01-28,Manali,91,45,70,130000
2026-01-28,Ennore,110,64,95,105000
2026-01-28,Kodungaiyur,129,58,120,90000
2026-01-28,Central,106,77,145,520000
2026-01-28,South,125,71,125,410000
2026-01-29,Manali,84,50,90,130000
2026-01-29,Ennore,103,44,115,105000
2026-01-29,Kodungaiyur,122,63,95,90000
2026-01-29,Central,141,82,120,520000
2026-01-29,South,118,76,145,410000
2026-01-30,Manali,77,55,110,130000
2026-01-30,Ennore,96,49,90,105000
2026-01-30,Kodungaiyur,115,68,115,90000
2026-01-30,Central,134,62,140,520000
2026-01-30,South,153,81,120,410000
2026-01-31,Manali,70,35,85,130000
2026-01-31,Ennore,89,54,110,105000
2026-01-31,Kodungaiyur,108,73,135,90000
2026-01-31,Central,127,67,115,520000
2026-01-31,South,146,86,140,410000
2026-02-01,Manali,105,40,105,130000
2026-02-01,Ennore,82,59,85,105000
2026-02-01,Kodungaiyur,101,53,110,90000
2026-02-01,Central,120,72,135,520000
2026-02-01,South,139,91,160,410000
2026-02-02,Manali,98,45,80,130000
2026-02-02,Ennore,117,64,105,105000
2026-02-02,Kodungaiyur,94,58,130,90000
2026-02-02,Central,113,77,110,520000
2026-02-02,South,132,71,135,410000
2026-02-03,Manali,91,50,100,130000
2026-02-03,Ennore,110,44,125,105000
2026-02-03,Kodungaiyur,129,63,105,90000
2026-02-03,Central,106,82,130,520000
2026-02-03,South,125,76,155,410000
2026-02-04,Manali,84,55,75,130000
2026-02-04,Ennore,103,49,100,105000
2026-02-04,Kodungaiyur,122,68,125,90000
2026-02-04,Central,141,62,150,520000
2026-02-04,South,118,81,130,410000
2026-02-05,Manali,77,35,95,130000
2026-02-05,Ennore,96,54,120,105000
2026-02-05,Kodungaiyur,115,73,100,90000
2026-02-05,Central,134,67,125,520000
2026-02-05,South,153,86,150,410000
2026-02-06,Manali,70,40,70,130000
2026-02-06,Ennore,89,59,95,105000
2026-02-06,Kodungaiyur,108,53,120,90000
2026-02-06,Central,127,72,145,520000
2026-02-06,South,146,91,125,410000
2026-02-07,Manali,105,45,90,130000
2026-02-07,Ennore,82,64,115,105000
2026-02-07,Kodungaiyur,101,58,95,90000
2026-02-07,Central,120,77,120,520000
2026-02-07,South,139,71,145,410000
2026-02-08,Manali,98,50,110,130000
2026-02-08,Ennore,117,44,90,105000
2026-02-08,Kodungaiyur,94,63,115,90000
2026-02-08,Central,113,82,140,520000
2026-02-08,South,132,76,120,410000
2026-02-09,Manali,91,55,85,130000
2026-02-09,Ennore,110,49,110,105000
2026-02-09,Kodungaiyur,129,68,135,90000
2026-02-09,Central,106,62,115,520000
2026-02-09,South,125,81,140,410000
2026-02-10,Manali,84,35,105,130000
2026-02-10,Ennore,103,54,85,105000
2026-02-10,Kodungaiyur,122,73,110,90000
2026-02-10,Central,141,67,135,520000
2026-02-10,South,118,86,160,410000
2026-02-11,Manali,77,40,80,130000
2026-02-11,Ennore,96,59,105,105000
2026-02-11,Kodungaiyur,115,53,130,90000
2026-02-11,Central,134,72,110,520000
2026-02-11,South,153,91,135,410000
2026-02-12,Manali,70,45,100,130000
2026-02-12,Ennore,89,64,125,105000
2026-02-12,Kodungaiyur,108,58,105,90000
2026-02-12,Central,127,77,130,520000
2026-02-12,South,146,71,155,410000
2026-02-13,Manali,105,50,75,130000
2026-02-13,Ennore,82,44,100,105000
2026-02-13,Kodungaiyur,101,63,125,90000
2026-02-13,Central,120,82,150,520000
2026-02-13,South,139,76,130,410000
2026-02-14,Manali,98,55,95,130000
2026-02-14,Ennore,117,49,120,105000
2026-02-14,Kodungaiyur,94,68,100,90000
2026-02-14,Central,113,62,125,520000
2026-02-14,South,132,81,150,410000
2026-02-15,Manali,91,35,70,130000
2026-02-15,Ennore,110,54,95,105000
2026-02-15,Kodungaiyur,129,73,120,90000
2026-02-15,Central,106,67,145,520000
2026-02-15,South,125,86,125,410000
2026-02-16,Manali,84,40,90,130000
2026-02-16,Ennore,103,59,115,105000
2026-02-16,Kodungaiyur,122,53,95,90000
2026-02-16,Central,141,72,120,520000
2026-02-16,South,118,91,145,410000
2026-02-17,Manali,77,45,110,130000
2026-02-17,Ennore,96,64,90,105000
2026-02-17,Kodungaiyur,115,58,115,90000
2026-02-17,Central,134,77,140,520000
2026-02-17,South,153,71,120,410000
2026-02-18,Manali,70,50,85,130000
2026-02-18,Ennore,89,44,110,105000
2026-02-18,Kodungaiyur,108,63,135,90000
2026-02-18,Central,127,82,115,520000
2026-02-18,South,146,76,140,410000
2026-02-19,Manali,105,55,105,130000
2026-02-19,Ennore,82,49,85,105000
2026-02-19,Kodungaiyur,101,68,110,90000
2026-02-19,Central,120,62,135,520000
2026-02-19,South,139,81,160,410000
2026-02-20,Manali,98,35,80,130000
2026-02-20,Ennore,117,54,105,105000
2026-02-20,Kodungaiyur,94,73,130,90000
2026-02-20,Central,113,67,110,520000
2026-02-20,South,132,86,135,410000
2026-02-21,Manali,91,40,100,130000
2026-02-21,Ennore,110,59,125,105000
2026-02-21,Kodungaiyur,129,53,105,90000
2026-02-21,Central,106,72,130,520000
2026-02-21,South,125,91,155,410000
2026-02-22,Manali,84,45,75,130000
2026-02-22,Ennore,103,64,100,105000
2026-02-22,Kodungaiyur,122,58,125,90000
2026-02-22,Central,141,77,150,520000
2026-02-22,South,118,71,130,410000
2026-02-23,Manali,77,50,95,130000
2026-02-23,Ennore,96,44,120,105000
2026-02-23,Kodungaiyur,115,63,100,90000
2026-02-23,Central,134,82,125,520000
2026-02-23,South,153,76,150,410000
2026-02-24,Manali,70,55,70,130000
2026-02-24,Ennore,89,49,95,105000
2026-02-24,Kodungaiyur,108,68,120,90000
2026-02-24,Central,127,62,145,520000
2026-02-24,South,146,81,125,410000
2026-02-25,Manali,105,35,90,130000
2026-02-25,Ennore,82,54,115,105000
2026-02-25,Kodungaiyur,101,73,95,90000
2026-02-25,Central,120,67,120,520000
2026-02-25,South,139,86,145,410000
2026-02-26,Manali,98,40,110,130000
2026-02-26,Ennore,117,59,90,105000
2026-02-26,Kodungaiyur,94,53,115,90000
2026-02-26,Central,113,72,140,520000
2026-02-26,South,132,91,120,410000
2026-02-27,Manali,91,45,85,130000
2026-02-27,Ennore,110,64,110,105000
2026-02-27,Kodungaiyur,129,58,135,90000
2026-02-27,Central,106,77,115,520000
2026-02-27,South,125,71,140,410000
2026-02-28,Manali,84,50,105,130000
2026-02-28,Ennore,103,44,85,105000
2026-02-28,Kodungaiyur,122,63,110,90000
2026-02-28,Central,141,82,135,520000
2026-02-28,South,118,76,160,410000
2026-03-01,Manali,77,55,80,130000
2026-03-01,Ennore,96,49,105,105000
2026-03-01,Kodungaiyur,115,68,130,90000
2026-03-01,Central,134,62,110,520000
2026-03-01,South,153,81,135,410000
2026-03-02,Manali,70,35,100,130000
2026-03-02,Ennore,89,54,125,105000
2026-03-02,Kodungaiyur,108,73,105,90000
2026-03-02,Central,127,67,130,520000
2026-03-02,South,146,86,155,410000
2026-03-03,Manali,105,40,75,130000
2026-03-03,Ennore,82,59,100,105000
2026-03-03,Kodungaiyur,101,53,125,90000
2026-03-03,Central,120,72,150,520000
2026-03-03,South,139,91,130,410000
2026-03-04,Manali,98,45,95,130000
2026-03-04,Ennore,117,64,120,105000
2026-03-04,Kodungaiyur,94,58,100,90000
2026-03-04,Central,113,77,125,520000
2026-03-04,South,132,71,150,410000
2026-03-05,Manali,91,50,70,130000
2026-03-05,Ennore,110,44,95,105000
2026-03-05,Kodungaiyur,129,63,120,90000
2026-03-05,Central,106,82,145,520000
2026-03-05,South,125,76,125,410000
2026-03-06,Manali,84,55,90,130000
2026-03-06,Ennore,103,49,115,105000
2026-03-06,Kodungaiyur,122,68,95,90000
2026-03-06,Central,141,62,120,520000
2026-03-06,South,118,81,145,410000
2026-03-07,Manali,77,35,110,130000
2026-03-07,Ennore,96,54,90,105000
2026-03-07,Kodungaiyur,115,73,115,90000
2026-03-07,Central,134,67,140,520000
2026-03-07,South,153,86,120,410000
2026-03-08,Manali,70,40,85,130000
2026-03-08,Ennore,89,59,110,105000
2026-03-08,Kodungaiyur,108,53,135,90000
2026-03-08,Central,127,72,115,520000
2026-03-08,South,146,91,140,410000
2026-03-09,Manali,105,45,105,130000
2026-03-09,Ennore,82,64,85,105000
2026-03-09,Kodungaiyur,101,58,110,90000
2026-03-09,Central,120,77,135,520000
2026-03-09,South,139,71,160,410000
2026-03-10,Manali,98,50,80,130000
2026-03-10,Ennore,117,44,105,105000
2026-03-10,Kodungaiyur,94,63,130,90000
2026-03-10,Central,113,82,110,520000
2026-03-10,South,132,76,135,410000
2026-03-11,Manali,91,55,100,130000
2026-03-11,Ennore,110,49,125,105000
2026-03-11,Kodungaiyur,129,68,105,90000
2026-03-11,Central,106,62,130,520000
2026-03-11,South,125,81,155,410000
2026-03-12,Manali,84,35,75,130000
2026-03-12,Ennore,103,54,100,105000
2026-03-12,Kodungaiyur,122,73,125,90000
2026-03-12,Central,141,67,150,520000
2026-03-12,South,118,86,130,410000
2026-03-13,Manali,77,40,95,130000
2026-03-13,Ennore,96,59,120,105000
2026-03-13,Kodungaiyur,115,53,100,90000
2026-03-13,Central,134,72,125,520000
2026-03-13,South,153,91,150,410000
2026-03-14,Manali,70,45,70,130000
2026-03-14,Ennore,89,64,95,105000
2026-03-14,Kodungaiyur,108,58,120,90000
2026-03-14,Central,127,77,145,520000
2026-03-14,South,146,71,125,410000
2026-03-15,Manali,105,50,90,130000
2026-03-15,Ennore,82,44,115,105000
2026-03-15,Kodungaiyur,101,63,95,90000
2026-03-15,Central,120,82,120,520000
2026-03-15,South,139,76,145,410000
2026-03-16,Manali,98,55,110,130000
2026-03-16,Ennore,117,49,90,105000
2026-03-16,Kodungaiyur,94,68,115,90000
2026-03-16,Central,113,62,140,520000
2026-03-16,South,132,81,120,410000
2026-03-17,Manali,91,35,85,130000
2026-03-17,Ennore,110,54,110,105000
2026-03-17,Kodungaiyur,129,73,135,90000
2026-03-17,Central,106,67,115,520000
2026-03-17,South,125,86,140,410000
2026-03-18,Manali,84,40,105,130000
2026-03-18,Ennore,103,59,85,105000
2026-03-18,Kodungaiyur,122,53,110,90000
2026-03-18,Central,141,72,135,520000
2026-03-18,South,118,91,160,410000
2026-03-19,Manali,77,45,80,130000
2026-03-19,Ennore,96,64,105,105000
2026-03-19,Kodungaiyur,115,58,130,90000
2026-03-19,Central,134,77,110,520000
2026-03-19,South,153,71,135,410000
2026-03-20,Manali,70,50,100,130000
2026-03-20,Ennore,89,44,125,105000
2026-03-20,Kodungaiyur,108,63,105,90000
2026-03-20,Central,127,82,130,520000
2026-03-20,South,146,76,155,410000
2026-03-21,Manali,105,55,75,130000
2026-03-21,Ennore,82,49,100,105000
2026-03-21,Kodungaiyur,101,68,125,90000
2026-03-21,Central,120,62,150,520000
2026-03-21,South,139,81,130,410000
2026-03-22,Manali,98,35,95,130000
2026-03-22,Ennore,117,54,120,105000
2026-03-22,Kodungaiyur,94,73,100,90000
2026-03-22,Central,113,67,125,520000
2026-03-22,South,132,86,150,410000
2026-03-23,Manali,91,40,70,130000
2026-03-23,Ennore,110,59,95,105000
2026-03-23,Kodungaiyur,129,53,120,90000
2026-03-23,Central,106,72,145,520000
2026-03-23,South,125,91,125,410000
2026-03-24,Manali,84,45,90,130000
2026-03-24,Ennore,103,64,115,105000
2026-03-24,Kodungaiyur,122,58,95,90000
2026-03-24,Central,141,77,120,520000
2026-03-24,South,118,71,145,410000
2026-03-25,Manali,77,50,110,130000
2026-03-25,Ennore,96,44,90,105000
2026-03-25,Kodungaiyur,115,63,115,90000
2026-03-25,Central,134,82,140,520000
2026-03-25,South,153,76,120,410000
2026-03-26,Manali,70,55,85,130000
2026-03-26,Ennore,89,49,110,105000
2026-03-26,Kodungaiyur,108,68,135,90000
2026-03-26,Central,127,62,115,520000
2026-03-26,South,146,81,140,410000
2026-03-27,Manali,105,35,105,130000
2026-03-27,Ennore,82,54,85,105000
2026-03-27,Kodungaiyur,101,73,110,90000
2026-03-27,Central,120,67,135,520000
2026-03-27,South,139,86,160,410000
2026-03-28,Manali,98,40,80,130000
2026-03-28,Ennore,117,59,105,105000
2026-03-28,Kodungaiyur,94,53,130,90000
2026-03-28,Central,113,72,110,520000
2026-03-28,South,132,91,135,410000
2026-03-29,Manali,91,45,100,130000
2026-03-29,Ennore,110,64,125,105000
2026-03-29,Kodungaiyur,129,58,105,90000
2026-03-29,Central,106,77,130,520000
2026-03-29,South,125,71,155,410000
2026-03-30,Manali,84,50,75,130000
2026-03-30,Ennore,103,44,100,105000
2026-03-30,Kodungaiyur,122,63,125,90000
2026-03-30,Central,141,82,150,520000
2026-03-30,South,118,76,130,410000
2026-03-31,Manali,77,55,95,130000
2026-03-31,Ennore,96,49,120,105000
2026-03-31,Kodungaiyur,115,68,100,90000
2026-03-31,Central,134,62,125,520000
2026-03-31,South,153,81,150,410000
2026-04-01,Manali,70,35,70,130000
2026-04-01,Ennore,89,54,95,105000
2026-04-01,Kodungaiyur,108,73,120,90000
2026-04-01,Central,127,67,145,520000
2026-04-01,South,146,86,125,410000
2026-04-02,Manali,105,40,90,130000
2026-04-02,Ennore,82,59,115,105000
2026-04-02,Kodungaiyur,101,53,95,90000
2026-04-02,Central,120,72,120,520000
2026-04-02,South,139,91,145,410000
2026-04-03,Manali,98,45,110,130000
2026-04-03,Ennore,117,64,90,105000
2026-04-03,Kodungaiyur,94,58,115,90000
2026-04-03,Central,113,77,140,520000
2026-04-03,South,132,71,120,410000
2026-04-04,Manali,91,50,85,130000
2026-04-04,Ennore,110,44,110,105000
2026-04-04,Kodungaiyur,129,63,135,90000
2026-04-04,Central,106,82,115,520000
2026-04-04,South,125,76,140,410000
2026-04-05,Manali,84,55,105,130000
2026-04-05,Ennore,103,49,85,105000
2026-04-05,Kodungaiyur,122,68,110,90000
2026-04-05,Central,141,62,135,520000
2026-04-05,South,118,81,160,410000
2026-04-06,Manali,77,35,80,130000
2026-04-06,Ennore,96,54,105,105000
2026-04-06,Kodungaiyur,115,73,130,90000
2026-04-06,Central,134,67,110,520000
2026-04-06,South,153,86,135,410000
2026-04-07,Manali,70,40,100,130000
2026-04-07,Ennore,89,59,125,105000
2026-04-07,Kodungaiyur,108,53,105,90000
2026-04-07,Central,127,72,130,520000
2026-04-07,South,146,91,155,410000
2026-04-08,Manali,105,45,75,130000
2026-04-08,Ennore,82,64,100,105000
2026-04-08,Kodungaiyur,101,58,125,90000
2026-04-08,Central,120,77,150,520000
2026-04-08,South,139,71,130,410000
2026-04-09,Manali,98,50,95,130000
2026-04-09,Ennore,117,44,120,105000
2026-04-09,Kodungaiyur,94,63,100,90000
2026-04-09,Central,113,82,125,520000
2026-04-09,South,132,76,150,410000
2026-04-10,Manali,91,55,70,130000
2026-04-10,Ennore,110,49,95,105000
2026-04-10,Kodungaiyur,129,68,120,90000
2026-04-10,Central,106,62,145,520000
2026-04-10,South,125,81,125,410000
2026-04-11,Manali,84,35,90,130000
2026-04-11,Ennore,103,54,115,105000
2026-04-11,Kodungaiyur,122,73,95,90000
2026-04-11,Central,141,67,120,520000
2026-04-11,South,118,86,145,410000
2026-04-12,Manali,77,40,110,130000
2026-04-12,Ennore,96,59,90,105000
2026-04-12,Kodungaiyur,115,53,115,90000
2026-04-12,Central,134,72,140,520000
2026-04-12,South,153,91,120,410000
2026-04-13,Manali,70,45,85,130000
2026-04-13,Ennore,89,64,110,105000
2026-04-13,Kodungaiyur,108,58,135,90000
2026-04-13,Central,127,77,115,520000
2026-04-13,South,146,71,140,410000
2026-04-14,Manali,105,50,105,130000
2026-04-14,Ennore,82,44,85,105000
2026-04-14,Kodungaiyur,101,63,110,90000
2026-04-14,Central,120,82,135,520000
2026-04-14,South,139,76,160,410000
2026-04-15,Manali,98,55,80,130000
2026-04-15,Ennore,117,49,105,105000
2026-04-15,Kodungaiyur,94,68,130,90000
2026-04-15,Central,113,62,110,520000
2026-04-15,South,132,81,135,410000
2026-04-16,Manali,91,35,100,130000
2026-04-16,Ennore,110,54,125,105000
2026-04-16,Kodungaiyur,129,73,105,90000
2026-04-16,Central,106,67,130,520000
2026-04-16,South,125,86,155,410000
2026-04-17,Manali,84,40,75,130000
2026-04-17,Ennore,103,59,100,105000
2026-04-17,Kodungaiyur,122,53,125,90000
2026-04-17,Central,141,72,150,520000
2026-04-17,South,118,91,130,410000
2026-04-18,Manali,77,45,95,130000
2026-04-18,Ennore,96,64,120,105000
2026-04-18,Kodungaiyur,115,58,100,90000
2026-04-18,Central,134,77,125,520000
2026-04-18,South,153,71,150,410000
2026-04-19,Manali,70,50,70,130000
2026-04-19,Ennore,89,44,95,105000
2026-04-19,Kodungaiyur,108,63,120,90000
2026-04-19,Central,127,82,145,520000
2026-04-19,South,146,76,125,410000
2026-04-20,Manali,105,55,90,130000
2026-04-20,Ennore,82,49,115,105000
2026-04-20,Kodungaiyur,101,68,95,90000
2026-04-20,Central,120,62,120,520000
2026-04-20,South,139,81,145,410000
2026-04-21,Manali,98,35,110,130000
2026-04-21,Ennore,117,54,90,105000
2026-04-21,Kodungaiyur,94,73,115,90000
2026-04-21,Central,113,67,140,520000
2026-04-21,South,132,86,120,410000
2026-04-22,Manali,91,40,85,130000
2026-04-22,Ennore,110,59,110,105000
2026-04-22,Kodungaiyur,129,53,135,90000
2026-04-22,Central,106,72,115,520000
2026-04-22,South,125,91,140,410000
2026-04-23,Manali,84,45,105,130000
2026-04-23,Ennore,103,64,85,105000
2026-04-23,Kodungaiyur,122,58,110,90000
2026-04-23,Central,141,77,135,520000
2026-04-23,South,118,71,160,410000
2026-04-24,Manali,77,50,80,130000
2026-04-24,Ennore,96,44,105,105000
2026-04-24,Kodungaiyur,115,63,130,90000
2026-04-24,Central,134,82,110,520000
2026-04-24,South,153,76,135,410000
2026-04-25,Manali,70,55,100,130000
2026-04-25,Ennore,89,49,125,105000
2026-04-25,Kodungaiyur,108,68,105,90000
2026-04-25,Central,127,62,130,520000
2026-04-25,South,146,81,155,410000
2026-04-26,Manali,105,35,75,130000
2026-04-26,Ennore,82,54,100,105000
2026-04-26,Kodungaiyur,101,73,125,90000
2026-04-26,Central,120,67,150,520000
2026-04-26,South,139,86,130,410000
2026-04-27,Manali,98,40,95,130000
2026-04-27,Ennore,117,59,120,105000
2026-04-27,Kodungaiyur,94,53,100,90000
2026-04-27,Central,113,72,125,520000
2026-04-27,South,132,91,150,410000
2026-04-28,Manali,91,45,70,130000
2026-04-28,Ennore,110,64,95,105000
2026-04-28,Kodungaiyur,129,58,120,90000
2026-04-28,Central,106,77,145,520000
2026-04-28,South,125,71,125,410000
2026-04-29,Manali,84,50,90,130000
2026-04-29,Ennore,103,44,115,105000
2026-04-29,Kodungaiyur,122,63,95,90000
2026-04-29,Central,141,82,120,520000
2026-04-29,South,118,76,145,410000
2026-04-30,Manali,77,55,110,130000
2026-04-30,Ennore,96,49,90,105000
2026-04-30,Kodungaiyur,115,68,115,90000
2026-04-30,Central,134,62,140,520000
2026-04-30,South,153,81,120,410000
2026-05-01,Manali,70,35,85,130000
2026-05-01,Ennore,89,54,110,105000
2026-05-01,Kodungaiyur,108,73,135,90000
2026-05-01,Central,127,67,115,520000
2026-05-01,South,146,86,140,410000
2026-05-02,Manali,105,40,105,130000
2026-05-02,Ennore,82,59,85,105000
2026-05-02,Kodungaiyur,101,53,110,90000
2026-05-02,Central,120,72,135,520000
2026-05-02,South,139,91,160,410000
2026-05-03,Manali,98,45,80,130000
2026-05-03,Ennore,117,64,105,105000
2026-05-03,Kodungaiyur,94,58,130,90000
2026-05-03,Central,113,77,110,520000
2026-05-03,South,132,71,135,410000
2026-05-04,Manali,91,50,100,130000
2026-05-04,Ennore,110,44,125,105000
2026-05-04,Kodungaiyur,129,63,105,90000
2026-05-04,Central,106,82,130,520000
2026-05-04,South,125,76,155,410000
2026-05-05,Manali,84,55,75,130000
2026-05-05,Ennore,103,49,100,105000
2026-05-05,Kodungaiyur,122,68,125,90000
2026-05-05,Central,141,62,150,520000
2026-05-05,South,118,81,130,410000
2026-05-06,Manali,77,35,95,130000
2026-05-06,Ennore,96,54,120,105000
2026-05-06,Kodungaiyur,115,73,100,90000
2026-05-06,Central,134,67,125,520000
2026-05-06,South,153,86,150,410000
2026-05-07,Manali,70,40,70,130000
2026-05-07,Ennore,89,59,95,105000
2026-05-07,Kodungaiyur,108,53,120,90000
2026-05-07,Central,127,72,145,520000
2026-05-07,South,146,91,125,410000
2026-05-08,Manali,105,45,90,130000
2026-05-08,Ennore,82,64,115,105000
2026-05-08,Kodungaiyur,101,58,95,90000
2026-05-08,Central,120,77,120,520000
2026-05-08,South,139,71,145,410000
2026-05-09,Manali,98,50,110,130000
2026-05-09,Ennore,117,44,90,105000
2026-05-09,Kodungaiyur,94,63,115,90000
2026-05-09,Central,113,82,140,520000
2026-05-09,South,132,76,120,410000
2026-05-10,Manali,91,55,85,130000
2026-05-10,Ennore,110,49,110,105000
2026-05-10,Kodungaiyur,129,68,135,90000
2026-05-10,Central,106,62,115,520000
2026-05-10,South,125,81,140,410000
2026-05-11,Manali,84,35,105,130000
2026-05-11,Ennore,103,54,85,105000
2026-05-11,Kodungaiyur,122,73,110,90000
2026-05-11,Central,141,67,135,520000
2026-05-11,South,118,86,160,410000
2026-05-12,Manali,77,40,80,130000
2026-05-12,Ennore,96,59,105,105000
2026-05-12,Kodungaiyur,115,53,130,90000
2026-05-12,Central,134,72,110,520000
2026-05-12,South,153,91,135,410000
2026-05-13,Manali,70,45,100,130000
2026-05-13,Ennore,89,64,125,105000
2026-05-13,Kodungaiyur,108,58,105,90000
2026-05-13,Central,127,77,130,520000
2026-05-13,South,146,71,155,410000
2026-05-14,Manali,105,50,75,130000
2026-05-14,Ennore,82,44,100,105000
2026-05-14,Kodungaiyur,101,63,125,90000
2026-05-14,Central,120,82,150,520000
2026-05-14,South,139,76,130,410000
2026-05-15,Manali,98,55,95,130000
2026-05-15,Ennore,117,49,120,105000
2026-05-15,Kodungaiyur,94,68,100,90000
2026-05-15,Central,113,62,125,520000
2026-05-15,South,132,81,150,410000
2026-05-16,Manali,91,35,70,130000
